id,id_station,nbre_pdc,available
1,FR*SSD*PABVVVOLVO95310*1,12,True
2,FR*SSD*PABVVVOLVO95310*1,12,True
3,FR*ZP1*EAC*57882,4,True
4,FR*M13*P13213*007,2,True
5,FR*M13*P13099*001,2,True
6,FR*M13*P13047*004,6,True
7,FR*M13*P13054*003,2,True
8,FR*M13*P13213*002,2,True
9,FR*M13*P13059*001,2,True
10,FR*M13*P13005*004,2,True
11,FR*M13*P13208*001,2,True
12,FR*M13*P13103*001,2,True
13,FR*M13*P13075*001,2,True
14,FR*M13*P13001*001,2,True
15,FR*M13*P13203*002,2,True
16,FR*M13*P13022*002,2,True
17,FR*M13*P13112*001,2,True
18,FR*M13*P13208*003,2,True
19,FR*M13*P13203*002,2,True
20,FR*M13*P13216*001,2,True
21,FR*M13*P13202*002,0,True
22,FR*M13*P13209*002,2,True
23,FR*M13*P13055*006,2,True
24,FR*M13*P13109*001,2,True
25,FR*M13*P13047*011,4,True
26,FR*M13*P13069*001,2,True
27,FR*M13*P13117*002,0,True
28,FR*M13*P13211*001,2,True
29,FR*M13*P13207*005,0,True
30,FR*M13*P13047*012,4,True
31,FR*M13*P13071*001,2,True
32,FR*M13*P13077*001,2,True
33,FR*M13*P13204*005,2,True
34,FR*M13*P13003*001,2,True
35,FR*M13*P13098*001,2,True
36,FR*M13*P13001*020,2,True
37,FR*M13*P13001*008,2,True
38,FR*M13*P13047*010,4,True
39,FR*M13*P13207*001,2,True
40,FR*M13*P13204*004,2,True
41,FR*M13*P13047*010,4,True
42,FR*M13*P13001*017,0,True
43,FR*M13*P13002*002,2,True
44,FR*M13*P13001*003,0,True
45,FR*M13*P13213*003,2,True
46,FR*M13*P13213*006,2,True
47,FR*M13*P13074*001,2,True
48,FR*M13*P13015*001,2,True
49,FR*M13*P13203*003,0,True
50,FR*M13*P13001*014,2,True
51,FR*M13*P13110*001,2,True
52,FR*M13*P13054*002,2,True
53,FR*M13*P13201*002,2,True
54,FR*M13*P13026*001,2,True
55,FR*M13*P13003*001,2,True
56,FR*M13*P13055*002,2,True
57,FR*M13*P13054*003,2,True
58,FR*M13*P13037*001,2,True
59,FR*M13*P13047*005,6,True
60,FR*M13*P13001*012,2,True
61,FR*M13*P13928*001,2,True
62,FR*M13*P13085*001,2,True
63,FR*M13*P13202*002,0,True
64,FR*M13*P13051*001,0,True
65,FR*M13*P13031*001,2,True
66,FR*M13*P13204*003,2,True
67,FR*M13*P13008*001,2,True
68,FR*M13*P13001*004,2,True
69,FR*M13*P13001*008,2,True
70,FR*M13*P13047*011,4,True
71,FR*M13*P13072*001,0,True
72,FR*M13*P13112*001,2,True
73,FR*M13*P13022*001,6,True
